Subway,,,,,,,
製表日期：,2025/12/13,,,,,,[VENUSTW_G18]
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,12:13:05
,合計,,1,0,125,,
,,,,,,,
,TOTAL,,,,125,現金付款,
,發票編號：,VM14253803 ～ VM14253803,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0052,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050802,素食蔬菜堡12吋,1,0,164,AP 單品入帳,12:13:52
,合計,,1,0,164,,
,,,,,,,
,TOTAL,,,,164,Line Pay付款,
,發票編號：,VM14253804 ～ VM14253804,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0053,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030501,火腿堡6吋,1,0,105,AP 單品入帳,12:15:30
,合計,,1,0,105,,
,,,,,,,
,TOTAL,,,,105,現金付款,
,發票編號：,VM14253805 ～ VM14253805,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0054,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030102,厚切嫩牛堡12吋,1,0,268,AP 單品入帳,12:18:04
2,A0814,餅乾1片,1,0,25,AP 單品入帳,12:18:04
,合計,,2,0,293,,
,,,,,,,
,TOTAL,,,,293,現金付款,
,發票編號：,VM14253806 ～ VM14253806,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0055,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030201,燒烤牛肉堡6吋,1,0,139,AP 單品入帳,12:21:57
2,A050101,義大利經典堡6吋,1,0,135,AP 單品入帳,12:21:57
,合計,,2,0,274,,
,,,,,,,
,TOTAL,,,,274,現金付款,
,發票編號：,VM14253807 ～ VM14253807,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0056,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020602,嫩切雞肉堡12吋,1,0,198,AP 單品入帳,12:23:54
,合計,,1,0,198,,
,,,,,,,
,TOTAL,,,,198,Line Pay付款,
,發票編號：,VM14253808 ～ VM14253808,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0057,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030201,燒烤牛肉堡6吋,1,0,139,AP 單品入帳,12:27:10
2,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,12:27:10
3,A060401,酪梨泥一球,1,0,45,AP 單品入帳,12:27:10
4,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,12:27:10
,合計,,4,0,344,,
,,,,,,,
,TOTAL,,,,344,現金付款,
,發票編號：,VM14253809 ～ VM14253809,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0058,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020401,照燒雞肉堡6吋,1,0,128,AP 單品入帳,12:30:13
,合計,,1,0,128,,
,,,,,,,
,TOTAL,,,,128,信用卡付款,
,發票編號：,VM14253810 ～ VM14253810,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0059,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020402,照燒雞肉堡12吋,1,0,230,AP 單品入帳,12:31:45
,合計,,1,0,230,,
,,,,,,,
,TOTAL,,,,230,現金付款,
,發票編號：,VM14253811 ～ VM14253811,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0060,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A172802,辣豆瓣嫩牛6吋烤餅,1,0,169,AP 單品入帳,12:33:33
2,A0703,C套餐,1,0,55,AP 單品入帳,12:33:33
5,A020401,照燒雞肉堡6吋,1,0,128,AP 單品入帳,12:33:33
6,A0701,A套餐,1,0,48,AP 單品入帳,12:33:33
10,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,12:33:33
,合計,,5,0,549,,
,,,,,,,
,TOTAL,,,,549,現金付款,
,發票編號：,VM14253812 ～ VM14253812,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0061,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,U0208,6吋百味俱樂部潛艇堡 6-Inch Subway ClubTM Sub,1,0,211,AP 單品入帳,12:37:32
,合計,,1,0,211,,
,,,,,,,
,TOTAL,,,,211,UberEats付款,
,發票編號：,VM14253813 ～ VM14253813,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0062,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,U0212,6吋照燒雞肉潛艇堡 6-Inch Chicken Teriyaki Sub,1,0,209,AP 單品入帳,12:39:57
,合計,,1,0,209,,
,,,,,,,
,TOTAL,,,,209,UberEats付款,
,發票編號：,VM14253814 ～ VM14253814,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0063,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,U0206,6吋墨西哥辣牛潛艇堡 6-Inch Taco Beef Sub,1,0,199,AP 單品入帳,12:42:25
,合計,,1,0,199,,
,,,,,,,
,TOTAL,,,,199,UberEats付款,
,發票編號：,VM14253815 ～ VM14253815,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0064,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,12:43:00
2,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,12:43:00
,合計,,2,0,160,,
,,,,,,,
,TOTAL,,,,160,現金付款,
,發票編號：,VM14253816 ～ VM14253816,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0065,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,B228,義大利牛肉丸,1,0,240,AP 單品入帳,12:44:50
5,B349,辣豆瓣嫩牛,1,0,273,AP 單品入帳,12:44:50
,合計,,2,0,513,,
,,,,,,,
,TOTAL,,,,513,FoodPanda付款,
,發票編號：,VM14253817 ～ VM14253817,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0066,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030301,義大利牛肉丸堡6吋,1,0,129,AP 單品入帳,12:48:10
2,A030102,厚切嫩牛堡12吋,1,0,268,AP 單品入帳,12:48:10
,合計,,2,0,397,,
,,,,,,,
,TOTAL,,,,397,現金付款,
,發票編號：,VM14253818 ～ VM14253818,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0067,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,12:49:35
2,A060401,酪梨泥一球,1,0,45,AP 單品入帳,12:49:35
3,A0703,C套餐,1,0,55,AP 單品入帳,12:49:35
6,A0814,餅乾1片,1,0,25,AP 單品入帳,12:49:35
,合計,,4,0,274,,
,,,,,,,
,TOTAL,,,,274,現金付款,
,發票編號：,VM14253819 ～ VM14253819,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0068,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050401,哈燒起司總匯堡6吋,1,0,125,AP 單品入帳,12:52:59
2,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,12:52:59
3,A0703,C套餐,1,0,55,AP 單品入帳,12:52:59
6,A030501,火腿堡6吋,1,0,105,AP 單品入帳,12:52:59
,合計,,4,0,320,,
,,,,,,,
,TOTAL,,,,320,現金付款,
,發票編號：,VM14253820 ～ VM14253820,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0069,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,B211,百味俱樂部,1,0,209,AP 單品入帳,12:54:45
,合計,,1,0,209,,
,,,,,,,
,TOTAL,,,,209,FoodPanda付款,
,發票編號：,VM14253821 ～ VM14253821,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0070,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020401,照燒雞肉堡6吋,1,0,128,AP 單品入帳,12:55:54
2,A0702,B套餐,1,0,48,AP 單品入帳,12:55:54
,合計,,2,0,176,,
,,,,,,,
,TOTAL,,,,176,現金付款,
,發票編號：,VM14253822 ～ VM14253822,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0071,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050302,百味俱樂部堡12吋,1,0,230,AP 單品入帳,12:57:55
,合計,,1,0,230,,
,,,,,,,
,TOTAL,,,,230,信用卡付款,
,發票編號：,VM14253823 ～ VM14253823,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0072,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A172801,辣豆瓣嫩牛6吋,1,0,159,AP 單品入帳,13:02:06
2,A0703,C套餐,1,0,55,AP 單品入帳,13:02:06
5,A0815,餅乾3片,1,0,60,AP 單品入帳,13:02:06
,合計,,3,0,274,,
,,,,,,,
,TOTAL,,,,274,現金付款,
,發票編號：,VM14253826 ～ VM14253826,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0073,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A0815,餅乾3片,1,0,60,AP 單品入帳,13:00:57
,合計,,1,0,60,,
,,,,,,,
,TOTAL,,,,60,現金付款,
,發票編號：,VM14253824 ～ VM14253824,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0074,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,13:01:20
,合計,,1,0,125,,
,,,,,,,
,TOTAL,,,,125,Line Pay付款,
,發票編號：,VM14253825 ～ VM14253825,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0075,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020505,鮮嫩雞柳沙拉,1,163,0,AP 單品入帳,13:03:58
2,A030405,墨西哥辣牛沙拉,1,158,0,AP 單品入帳,13:03:58
3,A030406,墨西哥辣牛雙份肉料,1,55,0,AP 單品入帳,13:03:58
4,A080901,薯餅,1,30,0,AP 單品入帳,13:03:58
5,A080901,薯餅,1,30,0,AP 單品入帳,13:03:58
,合計,,5,436,0,,
,,,,,,,
,TOTAL,,,,0,,
,發票編號：,00000000 ～ 00000000,交易種類 ：,◎一般入帳◎,,客戶編號：,2101130002員工餐0元
,交易日期：,2025/11/30,序 號：,0076,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,U0211,6吋義大利牛肉丸潛艇堡 6-Inch Roast Beef Sub,1,0,240,AP 單品入帳,13:07:41
11,U030110,單點現烤餅乾一片 Cookie1 pc,1,0,30,AP 單品入帳,13:07:41
,合計,,2,0,270,,
,,,,,,,
,TOTAL,,,,270,UberEats付款,
,發票編號：,VM14253827 ～ VM14253827,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0077,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,13:12:08
2,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,13:12:08
3,A0707,G套餐,1,0,70,AP 單品入帳,13:12:08
6,A030401,墨西哥辣牛堡6吋,1,0,115,AP 單品入帳,13:12:08
7,A060301,培根1條,1,0,23,AP 單品入帳,13:12:08
8,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,13:12:08
9,A0703,C套餐,1,0,72,AP 單品入帳,13:12:08
,合計,,7,0,589,,
,,,,,,,
,TOTAL,,,,589,現金付款,
,發票編號：,VM14253828 ～ VM14253828,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0078,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,U0409,6吋雙重起司厚切嫩牛潛艇堡 6-Inch Diced Beef with Double Cheese Sub,2,0,584,AP 單品入帳,13:16:55
,合計,,2,0,584,,
,,,,,,,
,TOTAL,,,,584,UberEats付款,
,發票編號：,VM14253829 ～ VM14253829,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0079,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020303,香烤雞肉烤餅6吋,1,0,135,AP 單品入帳,13:23:29
2,A020301,香烤雞肉堡6吋,1,0,125,AP 單品入帳,13:23:29
3,A060401,酪梨泥一球,1,0,45,AP 單品入帳,13:23:29
4,A091302,金選奶茶熱,1,0,50,AP 單品入帳,13:23:29
,合計,,4,0,355,,
,,,,,,,
,TOTAL,,,,355,現金付款,
,發票編號：,VM14253831 ～ VM14253831,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0080,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020301,香烤雞肉堡6吋,1,0,125,AP 單品入帳,13:21:15
3,A030302,義大利牛肉丸堡12吋,1,0,232,AP 單品入帳,13:21:15
4,A0701,A套餐,2,0,96,AP 單品入帳,13:21:15
,合計,,4,0,453,,
,,,,,,,
,TOTAL,,,,453,Line Pay付款,
,發票編號：,VM14253830 ～ VM14253830,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0081,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,13:25:37
2,A030106,厚切嫩牛雙份肉料,1,0,55,AP 單品入帳,13:25:37
3,A060601,嫩煎蛋一片,1,0,35,AP 單品入帳,13:25:37
,合計,,3,0,239,,
,,,,,,,
,TOTAL,,,,239,Line Pay付款,
,發票編號：,VM14253832 ～ VM14253832,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0082,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030102,厚切嫩牛堡12吋,1,0,268,AP 單品入帳,13:29:12
2,A060401,酪梨泥一球,1,0,45,AP 單品入帳,13:29:12
3,A060401,酪梨泥一球,1,0,45,AP 單品入帳,13:29:12
,合計,,3,0,358,,
,,,,,,,
,TOTAL,,,,358,信用卡付款,
,發票編號：,VM14253833 ～ VM14253833,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0083,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,13:31:36
,合計,,1,0,149,,
,,,,,,,
,TOTAL,,,,149,Line Pay付款,
,發票編號：,VM14253834 ～ VM14253834,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0084,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020601,嫩切雞肉堡6吋,1,0,110,AP 單品入帳,13:34:15
2,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,13:34:15
3,A020401,照燒雞肉堡6吋,1,0,128,AP 單品入帳,13:34:15
4,A0815,餅乾3片,1,0,60,AP 單品入帳,13:34:15
,合計,,4,0,447,,
,,,,,,,
,TOTAL,,,,447,信用卡付款,
,發票編號：,VM14253835 ～ VM14253835,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0085,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020401,照燒雞肉堡6吋,1,0,128,AP 單品入帳,13:38:01
2,A040201,鮪魚堡6吋,1,0,125,AP 單品入帳,13:38:01
,合計,,2,0,253,,
,,,,,,,
,TOTAL,,,,253,Line Pay付款,
,發票編號：,VM14253836 ～ VM14253836,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0086,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020502,鮮嫩雞柳堡12吋,1,0,225,AP 單品入帳,13:38:38
2,A0707,G套餐,1,0,65,AP 單品入帳,13:38:38
,合計,,2,0,290,,
,,,,,,,
,TOTAL,,,,290,現金付款,
,發票編號：,VM14253837 ～ VM14253837,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0087,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030102,厚切嫩牛堡12吋,1,0,268,AP 單品入帳,13:42:00
2,A030202,燒烤牛肉堡12吋,1,0,250,AP 單品入帳,13:42:00
3,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,13:42:00
4,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,13:42:00
,合計,,4,0,588,,
,,,,,,,
,TOTAL,,,,588,信用卡付款,
